fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"70805","70805",341143.875535156,6533305.8492533,341173.875535156,6533275.8492533,"286","219",1.09100384172466
"70806","70806",341143.875535156,6533275.8492533,341173.875535156,6533245.8492533,"287","219",1.72231952799691
"70807","70807",341143.875535156,6533245.8492533,341173.875535156,6533215.8492533,"288","219",0.926247914176848
"70808","70808",341143.875535156,6533215.8492533,341173.875535156,6533185.8492533,"289","219",0.685101871846451
"70809","70809",341143.875535156,6533185.8492533,341173.875535156,6533155.8492533,"290","219",0.827326050501904
"70810","70810",341143.875535156,6533155.8492533,341173.875535156,6533125.8492533,"291","219",0.476935873266791
"71107","71107",341173.875535156,6533905.8492533,341203.875535156,6533875.8492533,"266","220",0.911177124295916
"71108","71108",341173.875535156,6533875.8492533,341203.875535156,6533845.8492533,"267","220",2.72026063558695
"71109","71109",341173.875535156,6533845.8492533,341203.875535156,6533815.8492533,"268","220",1.55135366555717
"71110","71110",341173.875535156,6533815.8492533,341203.875535156,6533785.8492533,"269","220",3.02701299336221
"71111","71111",341173.875535156,6533785.8492533,341203.875535156,6533755.8492533,"270","220",1.3927054413822
"71112","71112",341173.875535156,6533755.8492533,341203.875535156,6533725.8492533,"271","220",0.948084408533242
"71113","71113",341173.875535156,6533725.8492533,341203.875535156,6533695.8492533,"272","220",0.874630906714333
"71114","71114",341173.875535156,6533695.8492533,341203.875535156,6533665.8492533,"273","220",0.7663994874888
"71115","71115",341173.875535156,6533665.8492533,341203.875535156,6533635.8492533,"274","220",1.15328313046032
"71116","71116",341173.875535156,6533635.8492533,341203.875535156,6533605.8492533,"275","220",1.28122463482949
"71117","71117",341173.875535156,6533605.8492533,341203.875535156,6533575.8492533,"276","220",1.73345804961191
"71118","71118",341173.875535156,6533575.8492533,341203.875535156,6533545.8492533,"277","220",2.3341638329294
"71119","71119",341173.875535156,6533545.8492533,341203.875535156,6533515.8492533,"278","220",1.84766661971807
"71120","71120",341173.875535156,6533515.8492533,341203.875535156,6533485.8492533,"279","220",1.02614231871234
"71121","71121",341173.875535156,6533485.8492533,341203.875535156,6533455.8492533,"280","220",0.427194619220164
"71122","71122",341173.875535156,6533455.8492533,341203.875535156,6533425.8492533,"281","220",0.356173254168696
"71123","71123",341173.875535156,6533425.8492533,341203.875535156,6533395.8492533,"282","220",0.605719466681282
"71124","71124",341173.875535156,6533395.8492533,341203.875535156,6533365.8492533,"283","220",0.949183249506685
"71125","71125",341173.875535156,6533365.8492533,341203.875535156,6533335.8492533,"284","220",0.625796677751674
"71126","71126",341173.875535156,6533335.8492533,341203.875535156,6533305.8492533,"285","220",1.16775870079796
"71127","71127",341173.875535156,6533305.8492533,341203.875535156,6533275.8492533,"286","220",2.49050191928943
"71128","71128",341173.875535156,6533275.8492533,341203.875535156,6533245.8492533,"287","220",1.5783927764578
"71129","71129",341173.875535156,6533245.8492533,341203.875535156,6533215.8492533,"288","220",0.784022963618239
"71130","71130",341173.875535156,6533215.8492533,341203.875535156,6533185.8492533,"289","220",1.59253770310018
"71131","71131",341173.875535156,6533185.8492533,341203.875535156,6533155.8492533,"290","220",0.511756453828679
"71132","71132",341173.875535156,6533155.8492533,341203.875535156,6533125.8492533,"291","220",0.662497918984191
"71133","71133",341173.875535156,6533125.8492533,341203.875535156,6533095.8492533,"292","220",0.849042826446613
"71134","71134",341173.875535156,6533095.8492533,341203.875535156,6533065.8492533,"293","220",3.17111012127727
"71135","71135",341173.875535156,6533065.8492533,341203.875535156,6533035.8492533,"294","220",2.60439438500244
"71430","71430",341203.875535156,6533875.8492533,341233.875535156,6533845.8492533,"267","221",1.13132091412942
"71431","71431",341203.875535156,6533845.8492533,341233.875535156,6533815.8492533,"268","221",0.898020150010751
"71432","71432",341203.875535156,6533815.8492533,341233.875535156,6533785.8492533,"269","221",1.59446567552099
"71433","71433",341203.875535156,6533785.8492533,341233.875535156,6533755.8492533,"270","221",1.18444648311005
"71434","71434",341203.875535156,6533755.8492533,341233.875535156,6533725.8492533,"271","221",0.852358222509941
"71435","71435",341203.875535156,6533725.8492533,341233.875535156,6533695.8492533,"272","221",0.73592400001155
"71436","71436",341203.875535156,6533695.8492533,341233.875535156,6533665.8492533,"273","221",1.05186425720652
"71437","71437",341203.875535156,6533665.8492533,341233.875535156,6533635.8492533,"274","221",1.16102889044417
"71438","71438",341203.875535156,6533635.8492533,341233.875535156,6533605.8492533,"275","221",1.2069821616345
"71439","71439",341203.875535156,6533605.8492533,341233.875535156,6533575.8492533,"276","221",1.23830982357264
"71440","71440",341203.875535156,6533575.8492533,341233.875535156,6533545.8492533,"277","221",2.13263499470221
"71441","71441",341203.875535156,6533545.8492533,341233.875535156,6533515.8492533,"278","221",1.55362669601209
"71442","71442",341203.875535156,6533515.8492533,341233.875535156,6533485.8492533,"279","221",0.588169889301062
"71443","71443",341203.875535156,6533485.8492533,341233.875535156,6533455.8492533,"280","221",0.494802641587125
"71444","71444",341203.875535156,6533455.8492533,341233.875535156,6533425.8492533,"281","221",0.990338934908311
"71445","71445",341203.875535156,6533425.8492533,341233.875535156,6533395.8492533,"282","221",0.926198156989283
"71446","71446",341203.875535156,6533395.8492533,341233.875535156,6533365.8492533,"283","221",1.17285197011299
"71447","71447",341203.875535156,6533365.8492533,341233.875535156,6533335.8492533,"284","221",0.586447565886709
"71448","71448",341203.875535156,6533335.8492533,341233.875535156,6533305.8492533,"285","221",0.957674593031406
"71449","71449",341203.875535156,6533305.8492533,341233.875535156,6533275.8492533,"286","221",1.35900220801433
"71450","71450",341203.875535156,6533275.8492533,341233.875535156,6533245.8492533,"287","221",2.44549437852369
"71451","71451",341203.875535156,6533245.8492533,341233.875535156,6533215.8492533,"288","221",2.1592822032339
"71452","71452",341203.875535156,6533215.8492533,341233.875535156,6533185.8492533,"289","221",2.0837693903678
"71453","71453",341203.875535156,6533185.8492533,341233.875535156,6533155.8492533,"290","221",0.619630453843209
"71454","71454",341203.875535156,6533155.8492533,341233.875535156,6533125.8492533,"291","221",0.656118410817451
"71455","71455",341203.875535156,6533125.8492533,341233.875535156,6533095.8492533,"292","221",0.724179098986917
"71456","71456",341203.875535156,6533095.8492533,341233.875535156,6533065.8492533,"293","221",3.40957155855166
