id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
41106,338383.875535156,6535555.8492533,338413.875535156,6535525.8492533,211,127,4.89911265223378
41107,338383.875535156,6535525.8492533,338413.875535156,6535495.8492533,212,127,4.02503023514675
41108,338383.875535156,6535495.8492533,338413.875535156,6535465.8492533,213,127,4.20057733138209
41109,338383.875535156,6535465.8492533,338413.875535156,6535435.8492533,214,127,3.28274201164401
41110,338383.875535156,6535435.8492533,338413.875535156,6535405.8492533,215,127,3.18108770648799
41111,338383.875535156,6535405.8492533,338413.875535156,6535375.8492533,216,127,2.65392789230301
41112,338383.875535156,6535375.8492533,338413.875535156,6535345.8492533,217,127,3.34139011268105
41113,338383.875535156,6535345.8492533,338413.875535156,6535315.8492533,218,127,3.63138139625568
41114,338383.875535156,6535315.8492533,338413.875535156,6535285.8492533,219,127,3.00508001444315
41115,338383.875535156,6535285.8492533,338413.875535156,6535255.8492533,220,127,3.20286344210434
41116,338383.875535156,6535255.8492533,338413.875535156,6535225.8492533,221,127,3.75976654635621
41117,338383.875535156,6535225.8492533,338413.875535156,6535195.8492533,222,127,3.61375075549614
41118,338383.875535156,6535195.8492533,338413.875535156,6535165.8492533,223,127,2.76905525600718
41119,338383.875535156,6535165.8492533,338413.875535156,6535135.8492533,224,127,2.66193050361715
41120,338383.875535156,6535135.8492533,338413.875535156,6535105.8492533,225,127,2.93475752264237
41121,338383.875535156,6535105.8492533,338413.875535156,6535075.8492533,226,127,2.97162576928431
41122,338383.875535156,6535075.8492533,338413.875535156,6535045.8492533,227,127,3.04195960857861
41123,338383.875535156,6535045.8492533,338413.875535156,6535015.8492533,228,127,2.94606843501882
41124,338383.875535156,6535015.8492533,338413.875535156,6534985.8492533,229,127,2.83292488995924
41125,338383.875535156,6534985.8492533,338413.875535156,6534955.8492533,230,127,3.06936300725353
41126,338383.875535156,6534955.8492533,338413.875535156,6534925.8492533,231,127,3.26133987094161
41127,338383.875535156,6534925.8492533,338413.875535156,6534895.8492533,232,127,4.29972094652541
41128,338383.875535156,6534895.8492533,338413.875535156,6534865.8492533,233,127,4.25102782114424
41129,338383.875535156,6534865.8492533,338413.875535156,6534835.8492533,234,127,2.53989021899749
41130,338383.875535156,6534835.8492533,338413.875535156,6534805.8492533,235,127,3.62283030370153
41131,338383.875535156,6534805.8492533,338413.875535156,6534775.8492533,236,127,3.79486505455228
41132,338383.875535156,6534775.8492533,338413.875535156,6534745.8492533,237,127,4.60128344858109
41133,338383.875535156,6534745.8492533,338413.875535156,6534715.8492533,238,127,3.0224101578317
41134,338383.875535156,6534715.8492533,338413.875535156,6534685.8492533,239,127,2.4450260740134
41135,338383.875535156,6534685.8492533,338413.875535156,6534655.8492533,240,127,3.3365948256867
41136,338383.875535156,6534655.8492533,338413.875535156,6534625.8492533,241,127,2.4495150376569
41137,338383.875535156,6534625.8492533,338413.875535156,6534595.8492533,242,127,5.07838607996484
41138,338383.875535156,6534595.8492533,338413.875535156,6534565.8492533,243,127,5.09820665014453
41139,338383.875535156,6534565.8492533,338413.875535156,6534535.8492533,244,127,3.94743164329406
